Time	Channel A	Channel B
(s)	(V)	(V)

-1.00028670	3.07978600	2.88324300
-1.00015336	3.07978600	2.88324300
-1.00002003	2.99151100	2.97059500
-0.99988669	3.07978600	2.88324300
-0.99975335	3.07978600	2.88324300
-0.99962002	3.07978600	2.88324300
-0.99948668	3.07978600	2.88324300
-0.99935335	3.07978600	2.97059500
-0.99922001	3.07978600	2.97059500
-0.99908667	3.07978600	2.88324300
-0.99895334	3.07978600	2.88324300
-0.99882000	2.99151100	2.88324300
-0.99868667	3.07978600	2.88324300
-0.99855333	3.07978600	2.88324300
-0.99841999	2.99151100	2.88324300
-0.99828666	3.07978600	2.88324300
-0.99815332	3.07978600	2.88324300
-0.99801999	2.99151100	2.88324300
-0.99788665	3.07978600	2.88324300
-0.99775331	2.99151100	2.88324300
-0.99761998	3.07978600	2.88324300
-0.99748664	3.07978600	2.88324300
-0.99735331	3.07978600	2.88324300
-0.99721997	3.07978600	2.88324300
-0.99708663	3.07978600	2.97059500
-0.99695330	3.07978600	2.97059500
-0.99681996	3.07978600	2.97059500
-0.99668663	3.07978600	2.97059500
-0.99655329	3.07978600	3.05825500
-0.99641995	3.07978600	2.97059500
-0.99628662	3.07978600	3.05825500
-0.99615328	3.07978600	3.05825500
-0.99601995	3.07978600	3.05825500
-0.99588661	2.99151100	3.05825500
-0.99575327	3.07978600	3.05825500
-0.99561994	3.07978600	3.05825500
-0.99548660	3.07978600	3.05825500
-0.99535327	3.07978600	2.97059500
-0.99521993	3.07978600	2.97059500
-0.99508659	3.07978600	2.97059500
-0.99495326	2.99151100	2.97059500
-0.99481992	3.07978600	2.97059500
-0.99468659	3.07978600	2.97059500
-0.99455325	3.07978600	2.97059500
-0.99441991	3.07978600	2.97059500
-0.99428658	3.07978600	2.88324300
-0.99415324	3.07978600	2.97059500
-0.99401991	3.07978600	2.88324300
-0.99388657	3.07978600	2.97059500
-0.99375323	3.07978600	2.88324300
-0.99361990	3.07978600	2.97059500
-0.99348656	3.07978600	2.88324300
-0.99335323	3.07978600	2.97059500
-0.99321989	3.07978600	2.88324300
-0.99308655	2.99151100	2.88324300
-0.99295322	3.07978600	2.88324300
-0.99281988	3.07978600	2.88324300
-0.99268655	3.07978600	2.88324300
-0.99255321	3.07978600	2.88324300
-0.99241987	3.07978600	2.88324300
-0.99228654	3.07978600	2.88324300
-0.99215320	3.07978600	2.88324300
-0.99201987	3.07978600	2.88324300
-0.99188653	3.07978600	2.88324300
-0.99175319	3.07978600	2.88324300
-0.99161986	3.07978600	2.88324300
-0.99148652	3.07978600	2.88324300
-0.99135319	3.07978600	2.88324300
-0.99121985	3.07978600	2.88324300
-0.99108651	3.07978600	2.88324300
-0.99095318	3.07978600	2.88324300
-0.99081984	3.07978600	2.88324300
-0.99068651	3.07978600	2.88324300
-0.99055317	3.07978600	2.88324300
-0.99041983	3.07978600	2.97059500
-0.99028650	3.07978600	2.97059500
-0.99015316	3.07978600	2.97059500
-0.99001983	3.07978600	2.97059500
-0.98988649	3.07978600	2.97059500
-0.98975315	3.07978600	2.97059500
-0.98961982	3.07978600	2.97059500
-0.98948648	3.07978600	2.97059500
